Timestamp;Type;Symbole;Action;Prix;Volume;Stop_Loss;Take_Profit;Message;Balance;Equity
2026-01-12 09:48:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:06;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:48:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:21;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:48:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:36;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:48:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:48:51;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:49:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:49:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:49:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:49:06;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:49:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:49:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:49:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:49:21;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
